City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tura,IN,25.5198,90.2201,294.08,96,91,1.54,overcast clouds
1,Carballo,ES,43.213,-8.691,290.96,86,62,3.13,broken clouds
2,Pochutla,MX,15.7432,-96.4661,300.27,66,3,0.82,clear sky
3,Port Alfred,ZA,-33.5906,26.891,288.25,85,93,4.9,overcast clouds
4,Torbay,CA,47.6666,-52.7314,286.35,68,20,8.23,few clouds
5,Bredasdorp,ZA,-34.5322,20.0403,290.62,51,29,8.72,scattered clouds
6,Terrace Bay,CA,48.7834,-87.1,279.17,84,67,1.87,broken clouds
7,Vanderhoof,CA,54.0166,-124.0198,272.37,74,100,1.31,overcast clouds
8,Jamestown,US,42.097,-79.2353,286.92,92,100,2.57,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,293.47,82,100,2.74,light rain
10,Beringovskiy,RU,63.05,179.3167,267.12,91,100,9.34,snow
11,Brookhaven,US,31.5791,-90.4407,291.37,70,100,1.16,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,276.09,80,95,1.9,overcast clouds
13,Nyimba,ZM,-14.5566,30.8149,308.99,18,90,2.8,overcast clouds
14,Uyuni,BO,-20.4597,-66.825,285.16,11,0,6.78,clear sky
15,Kushmurun,KZ,52.4503,64.6311,276.38,97,100,9.5,light rain
16,Ankazobe,MG,-18.3167,47.1167,296.1,45,99,4.97,overcast clouds
17,Laguna,US,38.421,-121.4238,288.75,81,0,1.54,clear sky
18,Bambous Virieux,MU,-20.3428,57.7575,297.29,73,40,5.14,scattered clouds
19,Caucaia,BR,-3.7361,-38.6531,306.1,60,20,7.72,few clouds
20,Ushuaia,AR,-54.8,-68.3,281.96,53,75,3.6,light intensity drizzle
21,Lebork,PL,54.5392,17.7501,286.78,100,82,1.79,broken clouds
22,Avarua,CK,-21.2078,-159.775,296.18,88,100,7.72,overcast clouds
23,Haines Junction,CA,60.7522,-137.5108,266.12,73,100,2.57,overcast clouds
24,Kapaa,US,22.0752,-159.319,298.33,87,0,5.66,clear sky
25,Hilo,US,19.7297,-155.09,296.07,89,0,3.09,clear sky
26,Puerto Ayora,EC,-0.7393,-90.3518,293.13,100,93,0.45,overcast clouds
27,Los Llanos De Aridane,ES,28.6585,-17.9182,296.55,83,0,2.57,clear sky
28,Rio Grande,BR,-32.035,-52.0986,287.21,60,100,10.56,light rain
29,Hermanus,ZA,-34.4187,19.2345,292.48,52,0,11.1,clear sky
30,Tessalit,ML,20.1986,1.0114,304.93,11,46,5.59,scattered clouds
31,Saskylakh,RU,71.9167,114.0833,254.88,93,22,4.29,few clouds
32,Port Elizabeth,ZA,-33.918,25.5701,290.43,67,40,4.63,scattered clouds
33,Kaniama,CD,-7.5667,24.1833,297.84,71,93,2.0,light rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,308.13,58,0,5.14,clear sky
35,Itaituba,BR,-4.2761,-55.9836,306.24,66,40,3.09,scattered clouds
36,Lebu,CL,-37.6167,-73.65,287.5,51,0,8.94,clear sky
37,Cape Town,ZA,-33.9258,18.4232,297.1,44,0,11.32,clear sky
38,Itaporanga,BR,-7.3044,-38.1503,308.58,24,42,3.03,scattered clouds
39,Tasiilaq,GL,65.6145,-37.6368,275.24,88,100,7.98,overcast clouds
40,Kodiak,US,57.79,-152.4072,271.88,43,0,12.86,clear sky
41,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,305.04,62,0,3.09,clear sky
42,Mataura,NZ,-46.1927,168.8643,280.35,99,28,0.87,scattered clouds
43,Vila,PT,42.0304,-8.1588,285.21,88,99,2.01,overcast clouds
44,Axim,GH,4.8699,-2.2405,301.72,69,49,2.76,light rain
45,Bairiki,KI,1.3292,172.9752,300.15,83,20,3.6,few clouds
46,Ust-Tsilma,RU,65.441,52.1498,273.88,98,100,4.01,light snow
47,Lasa,IT,46.6166,10.7002,292.64,66,99,2.09,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,282.21,57,75,12.35,broken clouds
49,La Ronge,CA,55.1001,-105.2842,276.29,56,20,4.63,few clouds
50,Upernavik,GL,72.7868,-56.1549,263.74,72,19,4.92,few clouds
51,Busselton,AU,-33.65,115.3333,283.41,81,0,3.15,clear sky
52,Nyrob,RU,60.733,56.7202,274.31,99,100,1.94,light snow
53,Yining,CN,29.0361,114.5636,286.91,71,1,1.38,clear sky
54,Noumea,NC,-22.2763,166.4572,292.14,84,46,3.16,scattered clouds
55,Hobart,AU,-42.8794,147.3294,283.85,70,75,4.12,broken clouds
56,Pevek,RU,69.7008,170.3133,258.76,95,100,2.18,overcast clouds
57,Havre-Saint-Pierre,CA,50.2334,-63.5986,281.35,81,0,6.17,clear sky
58,Tuatapere,NZ,-46.1333,167.6833,281.52,95,21,1.71,few clouds
59,Ahipara,NZ,-35.1667,173.1667,287.34,95,13,2.25,few clouds
60,Coreau,BR,-3.5333,-40.6567,310.43,21,26,3.12,scattered clouds
61,Pangnirtung,CA,66.1451,-65.7125,268.15,80,75,4.12,broken clouds
62,Clyde River,CA,70.4692,-68.5914,261.28,85,75,2.57,broken clouds
63,Saint George,US,37.1041,-113.5841,280.48,45,0,2.06,clear sky
64,Dikson,RU,73.5069,80.5464,271.75,96,100,13.05,light snow
65,Coquimbo,CL,-29.9533,-71.3436,289.0,72,20,4.12,few clouds
66,Half Moon Bay,US,37.4636,-122.4286,286.02,93,100,1.54,mist
67,Jumla,NP,29.2747,82.1838,283.51,81,59,0.88,broken clouds
68,Aklavik,CA,68.2191,-135.0107,250.56,96,9,2.22,clear sky
69,Batagay,RU,67.6333,134.6333,248.22,95,96,1.1,overcast clouds
70,Sao Filipe,CV,14.8961,-24.4956,300.45,70,32,3.03,scattered clouds
71,Padang,ID,-0.9492,100.3543,298.18,86,100,1.57,overcast clouds
72,Talnakh,RU,69.4865,88.3972,270.49,88,100,5.47,light snow
73,Barrow,US,71.2906,-156.7887,256.16,85,40,7.72,mist
74,Esperance,AU,-33.8667,121.9,287.28,80,100,10.64,overcast clouds
75,Carnarvon,AU,-24.8667,113.6333,292.58,59,0,11.78,clear sky
76,Myitkyina,MM,25.3833,97.4,292.34,70,0,0.87,clear sky
77,New Norfolk,AU,-42.7826,147.0587,283.66,63,100,1.79,overcast clouds
78,Mahebourg,MU,-20.4081,57.7,297.31,73,40,5.14,scattered clouds
79,Praya,CV,14.9215,-23.5087,304.45,58,75,6.69,broken clouds
80,Faanui,PF,-16.4833,-151.75,298.87,77,74,3.36,light rain
81,Qaanaaq,GL,77.484,-69.3632,255.74,62,21,3.42,few clouds
82,Albany,US,42.6001,-73.9662,286.65,67,85,1.5,overcast clouds
83,Xingyi,CN,24.1877,102.817,282.75,94,5,1.22,clear sky
84,Khatanga,RU,71.9667,102.5,264.8,95,100,7.42,light snow
85,Carnot,CF,4.9409,15.8665,298.01,83,94,2.98,light rain
86,Progreso,MX,21.2833,-89.6667,299.88,69,19,3.17,few clouds
87,Georgetown,MY,5.4112,100.3354,299.95,90,40,4.12,scattered clouds
88,Bluff,NZ,-46.6,168.3333,282.89,89,64,2.4,broken clouds
89,Labuhan,ID,-6.8844,112.2051,300.74,71,99,1.72,overcast clouds
90,Tyumentsevo,RU,53.3224,81.498,273.15,98,100,3.29,overcast clouds
91,Sanghar,PK,26.0466,68.9481,302.95,22,0,3.78,clear sky
92,Cap Malheureux,MU,-19.9842,57.6142,296.74,71,7,2.24,clear sky
93,Hasaki,JP,35.7333,140.8333,286.05,49,70,5.41,broken clouds
94,Lorengau,PG,-2.0226,147.2712,300.92,74,6,3.53,clear sky
