City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-10-29 21:42:13,71.2906,-156.7887,267.16,93,100,9.77
1,Dikson,RU,2022-10-29 21:42:14,73.5069,80.5464,264.41,94,100,4.35
2,Aklavik,CA,2022-10-29 21:42:15,68.2191,-135.0107,264.15,86,100,1.03
3,Bluff,NZ,2022-10-29 21:42:17,-46.6,168.3333,291.93,59,92,6.97
4,Mahebourg,MU,2022-10-29 21:42:18,-20.4081,57.7,295.31,88,20,1.03
5,Kathu,TH,2022-10-29 21:42:19,7.9178,98.3332,301.34,87,42,3.86
6,Saint-Pierre,RE,2022-10-29 21:42:20,-21.3393,55.4781,294.21,60,0,2.06
7,Albany,US,2022-10-29 21:41:28,42.6001,-73.9662,287.53,46,0,0.85
8,Rikitea,PF,2022-10-29 21:42:21,-23.1203,-134.9692,296.52,76,97,2.57
9,Yellowknife,CA,2022-10-29 21:38:44,62.456,-114.3525,270.44,86,100,4.12
10,Motygino,RU,2022-10-29 21:42:22,58.1831,94.7592,270.52,82,99,4.16
11,Bredasdorp,ZA,2022-10-29 21:42:23,-34.5322,20.0403,290.33,75,100,3.34
12,Kruisfontein,ZA,2022-10-29 21:42:24,-34.0033,24.7314,290.86,80,44,6.99
13,Souillac,MU,2022-10-29 21:42:24,-20.5167,57.5167,295.36,88,20,1.03
14,Tasiilaq,GL,2022-10-29 21:42:25,65.6145,-37.6368,276.24,99,100,6.77
15,Porto Tolle,IT,2022-10-29 21:42:26,44.9497,12.3245,292.44,60,6,2.24
16,Punta Arenas,CL,2022-10-29 21:41:47,-53.15,-70.9167,278.77,81,30,12.44
17,Hermanus,ZA,2022-10-29 21:42:27,-34.4187,19.2345,290.82,77,100,3.07
18,Codrington,AU,2022-10-29 21:42:28,-38.2667,141.9667,283.0,86,76,3.47
19,Puerto Ayora,EC,2022-10-29 21:42:28,-0.7393,-90.3518,296.13,93,98,2.24
20,Inhambane,MZ,2022-10-29 21:42:28,-23.865,35.3833,296.35,83,64,5.97
21,Benghazi,LY,2022-10-29 21:42:29,32.1167,20.0667,294.18,60,19,6.76
22,Port Elizabeth,ZA,2022-10-29 21:42:30,-33.918,25.5701,293.31,68,40,10.8
23,Lebu,CL,2022-10-29 21:42:30,-37.6167,-73.65,283.52,77,98,9.65
24,Choix,MX,2022-10-29 21:37:40,26.7092,-108.3219,304.8,19,8,2.37
25,Arraial Do Cabo,BR,2022-10-29 21:42:31,-22.9661,-42.0278,300.07,74,20,6.17
26,Mar Del Plata,AR,2022-10-29 21:42:32,-38.0023,-57.5575,287.5,69,0,7.2
27,Katsuura,JP,2022-10-29 21:42:32,35.1333,140.3,287.79,66,97,5.8
28,Port Alfred,ZA,2022-10-29 21:42:33,-33.5906,26.891,293.77,87,53,4.75
29,Saint George,US,2022-10-29 21:42:34,37.1041,-113.5841,294.79,19,0,0.89
30,Sal Rei,CV,2022-10-29 21:42:35,16.1833,-22.9167,299.39,78,100,6.28
31,Najran,SA,2022-10-29 21:42:35,17.4924,44.1277,291.51,25,65,0.46
32,Ilulissat,GL,2022-10-29 21:42:36,69.2167,-51.1,273.16,59,100,7.72
33,Cape Town,ZA,2022-10-29 21:39:02,-33.9258,18.4232,291.08,80,0,5.14
34,Maniwaki,CA,2022-10-29 21:42:37,46.3834,-75.966,287.36,28,97,3.6
35,Udachnyy,RU,2022-10-29 21:42:37,66.4167,112.4,253.29,99,90,2.69
36,Mount Isa,AU,2022-10-29 21:42:38,-20.7333,139.5,300.02,22,56,3.6
37,Manokwari,ID,2022-10-29 21:42:38,-0.8667,134.0833,300.06,77,60,4.08
38,Barranca,PE,2022-10-29 21:41:12,-10.75,-77.7667,290.52,76,100,3.86
39,Kaitangata,NZ,2022-10-29 21:42:39,-46.2817,169.8464,289.48,75,100,1.57
40,Andros Town,BS,2022-10-29 21:42:40,24.7,-77.7667,301.13,72,10,8.18
41,Atuona,PF,2022-10-29 21:42:41,-9.8,-139.0333,298.77,71,0,6.9
42,Waddan,LY,2022-10-29 21:42:41,29.1614,16.139,292.1,48,38,4.4
43,Sao Filipe,CV,2022-10-29 21:42:42,14.8961,-24.4956,300.07,69,92,4.43
44,Severo-Kurilsk,RU,2022-10-29 21:42:44,50.6789,156.125,276.89,72,96,3.87
45,Poum,NC,2022-10-29 21:42:44,-20.2333,164.0167,298.97,75,0,0.91
46,Liverpool,GB,2022-10-29 21:41:30,53.4106,-2.9779,288.45,86,0,3.6
47,Upernavik,GL,2022-10-29 21:43:45,72.7868,-56.1549,263.71,64,51,5.54
48,Padre Paraiso,BR,2022-10-29 21:43:46,-17.0742,-41.4844,295.38,53,4,1.7
49,Berlevag,NO,2022-10-29 21:43:47,70.8578,29.0864,276.12,75,100,13.38
50,Roquetas De Mar,ES,2022-10-29 21:43:48,36.7642,-2.6148,294.05,80,98,2.04
51,Georgetown,MY,2022-10-29 21:39:56,5.4112,100.3354,300.5,92,40,0.0
